"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 11:09:08 GMT 2025","Tue Sep 09 11:09:08 GMT 2025","528","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Tue Sep 09 11:09:06 GMT 2025","Tue Sep 09 11:09:07 GMT 2025","574","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Tue Sep 09 11:09:12 GMT 2025","Tue Sep 09 11:09:13 GMT 2025","582","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Tue Sep 09 11:09:13 GMT 2025","Tue Sep 09 11:09:14 GMT 2025","644","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Tue Sep 09 11:09:14 GMT 2025","Tue Sep 09 11:09:14 GMT 2025","666","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Tue Sep 09 11:09:12 GMT 2025","Tue Sep 09 11:09:12 GMT 2025","642","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Tue Sep 09 11:09:10 GMT 2025","Tue Sep 09 11:09:11 GMT 2025","638","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
"passed","Tue Sep 09 11:09:03 GMT 2025","Tue Sep 09 11:09:04 GMT 2025","983","chromium","tests/features/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Tue Sep 09 11:09:11 GMT 2025","Tue Sep 09 11:09:12 GMT 2025","610","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Tue Sep 09 11:09:07 GMT 2025","Tue Sep 09 11:09:08 GMT 2025","523","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Tue Sep 09 11:09:05 GMT 2025","Tue Sep 09 11:09:06 GMT 2025","818","chromium","tests/features/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
"passed","Tue Sep 09 11:09:07 GMT 2025","Tue Sep 09 11:09:07 GMT 2025","525","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Tue Sep 09 11:09:08 GMT 2025","Tue Sep 09 11:09:10 GMT 2025","1481","chromium","tests/features/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Tue Sep 09 11:09:10 GMT 2025","Tue Sep 09 11:09:10 GMT 2025","588","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
