"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Sep 09 11:29:08 GMT 2025","Tue Sep 09 11:29:09 GMT 2025","863","chromium","tests/features/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
"passed","Tue Sep 09 11:29:13 GMT 2025","Tue Sep 09 11:29:13 GMT 2025","577","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Tue Sep 09 11:29:16 GMT 2025","Tue Sep 09 11:29:16 GMT 2025","594","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Tue Sep 09 11:29:10 GMT 2025","Tue Sep 09 11:29:11 GMT 2025","533","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Tue Sep 09 11:29:10 GMT 2025","Tue Sep 09 11:29:10 GMT 2025","556","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Tue Sep 09 11:29:15 GMT 2025","Tue Sep 09 11:29:15 GMT 2025","644","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Tue Sep 09 11:29:14 GMT 2025","Tue Sep 09 11:29:15 GMT 2025","611","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Tue Sep 09 11:29:16 GMT 2025","Tue Sep 09 11:29:17 GMT 2025","633","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Tue Sep 09 11:29:11 GMT 2025","Tue Sep 09 11:29:11 GMT 2025","522","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Tue Sep 09 11:29:06 GMT 2025","Tue Sep 09 11:29:07 GMT 2025","1025","chromium","tests/features/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Tue Sep 09 11:29:11 GMT 2025","Tue Sep 09 11:29:13 GMT 2025","1528","chromium","tests/features/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Tue Sep 09 11:29:09 GMT 2025","Tue Sep 09 11:29:09 GMT 2025","639","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Tue Sep 09 11:29:15 GMT 2025","Tue Sep 09 11:29:16 GMT 2025","597","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Tue Sep 09 11:29:13 GMT 2025","Tue Sep 09 11:29:14 GMT 2025","592","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
