"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 05:21:28 GMT 2025","Sun Sep 14 05:21:29 GMT 2025","441","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Sun Sep 14 05:21:24 GMT 2025","Sun Sep 14 05:21:24 GMT 2025","372","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Sun Sep 14 05:21:29 GMT 2025","Sun Sep 14 05:21:30 GMT 2025","483","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Sun Sep 14 05:21:27 GMT 2025","Sun Sep 14 05:21:27 GMT 2025","496","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
"passed","Sun Sep 14 05:21:22 GMT 2025","Sun Sep 14 05:21:23 GMT 2025","659","chromium","tests/features/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
"passed","Sun Sep 14 05:21:24 GMT 2025","Sun Sep 14 05:21:25 GMT 2025","367","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Sun Sep 14 05:21:24 GMT 2025","Sun Sep 14 05:21:24 GMT 2025","397","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Sun Sep 14 05:21:29 GMT 2025","Sun Sep 14 05:21:29 GMT 2025","475","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Sun Sep 14 05:21:28 GMT 2025","Sun Sep 14 05:21:28 GMT 2025","479","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Sun Sep 14 05:21:20 GMT 2025","Sun Sep 14 05:21:20 GMT 2025","143","chromium","tests/features/api/getReqres.feature.spec.js","Get Method","","","Get list users",""
"passed","Sun Sep 14 05:21:20 GMT 2025","Sun Sep 14 05:21:21 GMT 2025","726","chromium","tests/features/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Sun Sep 14 05:21:23 GMT 2025","Sun Sep 14 05:21:24 GMT 2025","449","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Sun Sep 14 05:21:26 GMT 2025","Sun Sep 14 05:21:27 GMT 2025","467","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Sun Sep 14 05:21:27 GMT 2025","Sun Sep 14 05:21:28 GMT 2025","460","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Sun Sep 14 05:21:25 GMT 2025","Sun Sep 14 05:21:26 GMT 2025","1366","chromium","tests/features/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
