"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 05:16:15 GMT 2025","Sun Sep 14 05:16:16 GMT 2025","1345","chromium","tests/features/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Sun Sep 14 05:16:19 GMT 2025","Sun Sep 14 05:16:19 GMT 2025","446","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Sun Sep 14 05:16:13 GMT 2025","Sun Sep 14 05:16:14 GMT 2025","446","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Sun Sep 14 05:16:19 GMT 2025","Sun Sep 14 05:16:20 GMT 2025","487","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Sun Sep 14 05:16:15 GMT 2025","Sun Sep 14 05:16:15 GMT 2025","362","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Sun Sep 14 05:16:18 GMT 2025","Sun Sep 14 05:16:19 GMT 2025","438","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Sun Sep 14 05:16:17 GMT 2025","Sun Sep 14 05:16:17 GMT 2025","474","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
"passed","Sun Sep 14 05:16:14 GMT 2025","Sun Sep 14 05:16:14 GMT 2025","368","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Sun Sep 14 05:16:14 GMT 2025","Sun Sep 14 05:16:15 GMT 2025","357","chromium","tests/features/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Sun Sep 14 05:16:18 GMT 2025","Sun Sep 14 05:16:18 GMT 2025","452","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Sun Sep 14 05:16:16 GMT 2025","Sun Sep 14 05:16:17 GMT 2025","466","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Sun Sep 14 05:16:10 GMT 2025","Sun Sep 14 05:16:10 GMT 2025","800","chromium","tests/features/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Sun Sep 14 05:16:17 GMT 2025","Sun Sep 14 05:16:18 GMT 2025","474","chromium","tests/features/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Sun Sep 14 05:16:10 GMT 2025","Sun Sep 14 05:16:10 GMT 2025","156","chromium","tests/features/api/getReqres.feature.spec.js","Get Method","","","Get list users",""
"passed","Sun Sep 14 05:16:13 GMT 2025","Sun Sep 14 05:16:13 GMT 2025","644","chromium","tests/features/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
