"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 15:48:37 GMT 2025","Sun Sep 14 15:48:37 GMT 2025","482","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Sun Sep 14 15:48:30 GMT 2025","Sun Sep 14 15:48:31 GMT 2025","741","chromium","tests/features/web/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Sun Sep 14 15:48:39 GMT 2025","Sun Sep 14 15:48:39 GMT 2025","516","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Sun Sep 14 15:48:36 GMT 2025","Sun Sep 14 15:48:37 GMT 2025","510","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
"passed","Sun Sep 14 15:48:34 GMT 2025","Sun Sep 14 15:48:34 GMT 2025","401","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Sun Sep 14 15:48:33 GMT 2025","Sun Sep 14 15:48:34 GMT 2025","426","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Sun Sep 14 15:48:34 GMT 2025","Sun Sep 14 15:48:36 GMT 2025","1372","chromium","tests/features/web/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Sun Sep 14 15:48:34 GMT 2025","Sun Sep 14 15:48:34 GMT 2025","385","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Sun Sep 14 15:48:38 GMT 2025","Sun Sep 14 15:48:38 GMT 2025","476","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Sun Sep 14 15:48:37 GMT 2025","Sun Sep 14 15:48:38 GMT 2025","507","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Sun Sep 14 15:48:30 GMT 2025","Sun Sep 14 15:48:30 GMT 2025","201","chromium","tests/features/api/getReqres.feature.spec.js","Get Method","","","Get list users",""
"passed","Sun Sep 14 15:48:38 GMT 2025","Sun Sep 14 15:48:39 GMT 2025","512","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Sun Sep 14 15:48:36 GMT 2025","Sun Sep 14 15:48:36 GMT 2025","504","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Sun Sep 14 15:48:33 GMT 2025","Sun Sep 14 15:48:33 GMT 2025","474","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Sun Sep 14 15:48:32 GMT 2025","Sun Sep 14 15:48:33 GMT 2025","676","chromium","tests/features/web/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
