"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 08:18:42 GMT 2025","Sun Sep 14 08:18:43 GMT 2025","369","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Sun Sep 14 08:18:47 GMT 2025","Sun Sep 14 08:18:48 GMT 2025","472","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Sun Sep 14 08:18:43 GMT 2025","Sun Sep 14 08:18:43 GMT 2025","350","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Sun Sep 14 08:18:43 GMT 2025","Sun Sep 14 08:18:44 GMT 2025","1349","chromium","tests/features/web/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Sun Sep 14 08:18:46 GMT 2025","Sun Sep 14 08:18:46 GMT 2025","465","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Sun Sep 14 08:18:41 GMT 2025","Sun Sep 14 08:18:42 GMT 2025","440","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Sun Sep 14 08:18:47 GMT 2025","Sun Sep 14 08:18:47 GMT 2025","450","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Sun Sep 14 08:18:38 GMT 2025","Sun Sep 14 08:18:39 GMT 2025","740","chromium","tests/features/web/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Sun Sep 14 08:18:38 GMT 2025","Sun Sep 14 08:18:38 GMT 2025","150","chromium","tests/features/api/getReqres.feature.spec.js","Get Method","","","Get list users",""
"passed","Sun Sep 14 08:18:46 GMT 2025","Sun Sep 14 08:18:47 GMT 2025","466","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Sun Sep 14 08:18:41 GMT 2025","Sun Sep 14 08:18:41 GMT 2025","627","chromium","tests/features/web/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
"passed","Sun Sep 14 08:18:45 GMT 2025","Sun Sep 14 08:18:45 GMT 2025","444","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
"passed","Sun Sep 14 08:18:44 GMT 2025","Sun Sep 14 08:18:45 GMT 2025","454","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Sun Sep 14 08:18:42 GMT 2025","Sun Sep 14 08:18:42 GMT 2025","374","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Sun Sep 14 08:18:45 GMT 2025","Sun Sep 14 08:18:46 GMT 2025","474","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
