"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 14 08:10:56 GMT 2025","Sun Sep 14 08:10:57 GMT 2025","631","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can see all product catalog in product page",""
"passed","Sun Sep 14 08:10:54 GMT 2025","Sun Sep 14 08:10:55 GMT 2025","499","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using empty fields",""
"passed","Sun Sep 14 08:10:58 GMT 2025","Sun Sep 14 08:10:59 GMT 2025","579","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (low to high)""",""
"passed","Sun Sep 14 08:10:55 GMT 2025","Sun Sep 14 08:10:56 GMT 2025","1461","chromium","tests/features/web/logout.feature.spec.js","Sauce Demo Logout","","","User can log out from the product page",""
"passed","Sun Sep 14 08:10:59 GMT 2025","Sun Sep 14 08:10:59 GMT 2025","608","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Price (high to low)""",""
"passed","Sun Sep 14 08:10:52 GMT 2025","Sun Sep 14 08:10:52 GMT 2025","863","chromium","tests/features/web/checkout.feature.spec.js","Sauce Demo Checkout Page","","","User can proceed checkout to complete order",""
"passed","Sun Sep 14 08:10:57 GMT 2025","Sun Sep 14 08:10:58 GMT 2025","609","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (Z to A)""",""
"passed","Sun Sep 14 08:10:59 GMT 2025","Sun Sep 14 08:11:00 GMT 2025","593","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can add item to cart from product list page",""
"passed","Sun Sep 14 08:10:53 GMT 2025","Sun Sep 14 08:10:54 GMT 2025","525","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using locked user",""
"passed","Sun Sep 14 08:11:00 GMT 2025","Sun Sep 14 08:11:00 GMT 2025","665","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page","","","User can directly remove product from cart from product list page",""
"passed","Sun Sep 14 08:10:54 GMT 2025","Sun Sep 14 08:10:54 GMT 2025","517","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page > User login into Saucedemo by using <condition>","","","User login into Saucedemo by using invalid credential",""
"passed","Sun Sep 14 08:10:49 GMT 2025","Sun Sep 14 08:10:50 GMT 2025","817","chromium","tests/features/web/cart.feature.spec.js","Sauce Demo Cart Page","","","User can remove a product from cart page",""
"passed","Sun Sep 14 08:10:49 GMT 2025","Sun Sep 14 08:10:49 GMT 2025","424","chromium","tests/features/api/getReqres.feature.spec.js","Get Method","","","Get list users",""
"passed","Sun Sep 14 08:10:52 GMT 2025","Sun Sep 14 08:10:53 GMT 2025","572","chromium","tests/features/web/loginPage.feature.spec.js","Sauce Demo Login Page","","","User login into Saucedemo website by using standard user",""
"passed","Sun Sep 14 08:10:57 GMT 2025","Sun Sep 14 08:10:57 GMT 2025","617","chromium","tests/features/web/productPage.feature.spec.js","Sauce Demo Product Page > User can sort product by selected sort type ""<sortType>""","","","User can sort product by selected sort type ""Name (A to Z)""",""
